,loss,binary_crossentropy,val_binary_crossentropy
0,0.6763068392878727,0.04903000938058539,0.0510302080668962
1,0.659163764324322,0.046885647801469595,0.04789540581742906
2,0.6543637045297087,0.04667862497485542,0.04803072836044
3,0.6516712124327355,0.04658361283696282,0.048087690604280635
4,0.6496998642054761,0.046462184482465835,0.04772787629473731
5,0.6478080065005564,0.04638362578299344,0.047727931681384436
6,0.64609079936012,0.04631635863365513,0.047629843664439175
7,0.6444332104517981,0.04621572630182762,0.047496783862474405
8,0.6427332305695422,0.046204312622784176,0.047608993933660027
9,0.641161637805077,0.04614070590339919,0.04752343546555288
10,0.6395376357618926,0.046120759986095904,0.04757653998861112
11,0.6377639076174053,0.046047304714177756,0.047504773744584484
12,0.6361849287502174,0.04607197287444882,0.04751738306733304
13,0.6344065874066083,0.046019722757991245,0.04786325191016869
14,0.6328562925886458,0.04608283547767377,0.04762547798559631
15,0.6312498724404025,0.04601743305385887,0.04751273755347788
16,0.6292875054126621,0.0459461567475403,0.047867434267267125
17,0.6277200991264337,0.045960769967160274,0.04752916471541493
18,0.6261632968521673,0.045924554799595486,0.04748796848854014
19,0.6246459748408797,0.045915691335360255,0.04761557200105953
20,0.6230622354641931,0.0459285566422727,0.04750466896284445
21,0.6215499555007237,0.04585914135041633,0.04756311928932783
22,0.6200045830096232,0.04592361683986597,0.04752829335278915
23,0.6187620086642153,0.04587047305335647,0.04758365428931559
24,0.6172569730470403,0.0459066997864785,0.0475100880479439
25,0.6159523937456804,0.0458593885171499,0.04747527462127982
26,0.6144687349122293,0.04582850335856932,0.04753594050201729
27,0.6132388037074739,0.045841647848740216,0.0476040917138176
28,0.6118888286962979,0.04578229756647877,0.047627187473145205
29,0.6105180373453212,0.045799791236813985,0.04759999607378686
